-0.37,0.56,0.55,37.72,-92.83,0.18,-0.00,90603892
-0.63,0.52,0.56,57.25,-100.40,-1.71,-0.00,90613670
-0.56,0.39,0.45,52.86,-76.17,4.88,-0.00,90623436
-0.58,0.31,0.65,69.52,-85.94,-2.50,-0.00,90628111
-0.56,0.31,0.50,55.79,-96.86,-6.47,-0.00,90637870
-0.56,0.31,0.50,60.91,-96.86,-8.97,-0.00,90646493
-0.68,0.24,0.60,60.91,-96.86,-8.97,-0.00,90655122
-0.79,0.14,0.67,67.20,-97.53,-9.77,-0.00,90664843
-0.82,0.14,0.67,68.48,-98.69,-20.14,-0.00,90674665
-0.86,0.11,0.66,71.72,-93.81,-22.58,-0.00,90684451
-0.94,0.04,0.67,67.14,-89.60,-28.32,-0.00,90689124
-0.91,0.05,0.69,58.96,-84.17,-34.55,-0.00,90698869
-0.87,0.01,0.67,51.39,-78.19,-40.22,-0.00,90708647
-0.87,0.01,0.67,46.51,-74.77,-47.55,-0.00,90717249
-0.85,0.02,0.68,46.51,-74.77,-47.55,-0.00,90726007
-0.81,0.03,0.68,45.35,-73.61,-62.13,-0.00,90735791
-0.79,0.12,0.72,50.42,-71.23,-67.08,-0.00,90745590
-0.79,0.16,0.74,61.10,-69.58,-74.52,-0.00,90755374
-0.79,0.21,0.77,74.65,-68.66,-83.92,-0.00,90760114
-0.90,-0.53,1.01,13.49,-68.97,-184.33,-0.00,91321818
-0.90,-0.53,1.01,13.49,-68.97,-184.33,-0.00,91329636
-0.92,-0.58,0.91,-14.59,-67.93,-177.43,-0.00,91339402
-0.84,-0.57,0.79,-39.73,-66.16,-173.46,-0.00,91349221
-0.75,-0.56,0.63,-83.44,-59.39,-171.51,-0.00,91353900
-0.57,-0.37,0.34,-95.83,-59.75,-167.30,-0.00,91363681
-0.52,-0.34,0.24,-98.33,-63.42,-165.65,-0.00,91373341
-0.52,-0.34,0.24,-88.07,-66.28,-166.69,-0.00,91381964
-0.47,-0.36,0.21,-88.07,-66.28,-166.69,-0.00,91390786
-0.40,-0.34,0.20,-68.48,-67.02,-169.98,-0.00,91400552
-0.31,-0.35,0.12,-28.38,-61.58,-184.33,-0.00,91410373
-0.13,-0.33,0.08,-0.92,-51.45,-188.96,-0.00,91420162
-0.06,-0.35,0.09,23.13,-35.46,-187.81,-0.00,91424860
0.08,-0.47,0.07,38.27,-20.57,-186.71,-0.00,91434691
0.21,-0.41,0.12,52.00,-8.06,-185.42,-0.00,91444397
0.21,-0.41,0.12,62.50,0.43,-181.03,-0.00,91453011
0.27,-0.41,0.17,63.60,7.26,-173.46,-0.00,91462639
0.38,-0.17,0.24,64.45,15.62,-159.67,-0.00,91472390
0.33,-0.25,0.22,60.00,27.28,-141.24,-0.00,91482217
0.32,-0.21,0.32,52.80,36.80,-129.21,-0.00,91492008
0.28,-0.12,0.45,43.03,41.44,-115.60,-0.00,91501784
0.22,0.05,0.27,28.75,38.27,-95.15,-0.00,91511595
0.11,0.15,0.26,19.84,40.04,-76.72,-0.00,91516258
0.13,0.27,0.17,-6.53,44.56,-44.86,-0.00,91526051
0.18,0.43,0.14,-13.73,46.81,-28.44,-0.00,91535763
0.24,0.68,0.12,-20.51,48.95,-18.07,-0.00,91545344
0.24,0.68,0.12,-20.51,48.95,-18.07,-0.00,91553132
0.29,0.77,0.07,-26.00,49.13,-10.13,-0.00,91562884
0.36,0.89,0.04,-27.04,47.79,-3.30,-0.00,91572681
0.45,0.96,-0.03,-25.70,47.73,4.33,-0.00,91582413
0.59,1.01,-0.08,-10.99,56.03,15.14,-0.00,91587078
0.98,0.97,-0.10,-1.04,57.19,17.70,-0.00,91596841
0.98,0.97,-0.10,3.23,54.69,21.79,-0.00,91605472
1.17,1.00,-0.02,3.23,54.69,21.79,-0.00,91614071
1.29,1.02,-0.02,3.91,52.67,31.19,-0.00,91623801
1.26,1.01,-0.01,3.17,45.41,43.21,-0.00,91633611
1.19,1.07,0.08,-1.28,20.81,75.87,-0.00,91643389
1.00,1.19,0.12,-23.80,14.65,98.27,-0.00,91648086
0.76,1.13,-0.15,-31.92,4.94,114.56,-0.00,91657867
0.59,1.36,-0.01,-41.87,-5.74,123.54,-0.00,91667652
0.59,1.36,-0.01,-52.67,-13.67,137.57,-0.00,91676280
0.44,1.42,0.12,-52.67,-13.67,137.57,-0.00,91685095
0.34,1.40,-0.03,-49.38,-18.68,153.87,-0.00,91694861
0.17,1.38,0.01,-38.15,-32.17,169.80,-0.00,91704647
-0.18,1.25,-0.07,-32.78,-39.98,180.54,-0.00,91714432
-0.36,1.24,-0.13,-33.51,-47.73,189.27,-0.00,91719150
-0.60,1.19,-0.12,-42.54,-55.79,195.43,-0.00,91728945
-0.88,1.18,-0.22,-57.25,-62.26,207.21,-0.00,91738756
-0.88,1.18,-0.22,-77.51,-68.12,217.47,-0.00,91747568
-1.00,1.19,-0.29,-96.44,-73.12,226.01,-0.00,91757240
-1.49,1.20,-0.32,-113.16,-76.72,233.83,-0.00,91766874
-1.67,1.25,-0.29,-131.41,-77.27,237.73,-0.00,91776657
-1.83,1.38,-0.30,-147.28,-73.30,243.53,-0.00,91786474
-2.01,1.48,-0.52,-156.68,-60.00,255.37,-0.00,91796239
-2.44,1.47,-0.69,-157.96,-39.31,265.20,-0.00,91805998
-2.56,1.47,-0.82,-156.25,-19.41,265.69,-0.00,91815797
-2.53,1.54,-0.80,-140.69,17.52,244.75,-0.00,91820479
-2.66,1.67,-0.58,-132.57,25.82,230.96,-0.00,91830096
-2.66,1.67,-0.58,-110.11,19.04,201.54,-0.00,91838680
-2.05,1.57,-0.44,-110.11,19.04,201.54,-0.00,91847495
-1.77,1.50,-0.41,-80.26,5.13,157.47,-0.00,91857245
-1.89,1.47,-0.15,-47.73,-17.76,104.19,-0.00,91867000
-2.03,1.31,-0.03,-24.23,-45.65,51.70,-0.00,91876805
-2.08,1.17,-0.04,13.73,-77.70,-29.36,-0.00,91881478
-1.82,0.98,0.06,31.49,-78.25,-60.85,-0.00,91891258
-1.82,0.98,0.06,44.07,-68.73,-82.95,-0.00,91899883
-1.71,0.87,0.13,44.07,-68.73,-82.95,-0.00,91908511
-1.41,0.78,0.25,54.63,-58.90,-99.55,-0.00,91918271
-1.24,0.63,0.35,63.23,-55.91,-111.51,-0.00,91928059
-1.18,0.48,0.37,86.61,-62.50,-122.31,-0.00,91937851
-1.04,0.35,0.31,91.25,-63.78,-126.46,-0.00,91942548
-1.03,0.14,0.34,102.05,-64.15,-127.81,-0.00,91952363
-0.98,-0.03,0.34,105.16,-61.65,-132.69,-0.00,91962110
-0.98,-0.03,0.34,98.33,-57.56,-139.28,-0.00,91970938
-0.98,-0.14,0.30,98.33,-57.56,-139.28,-0.00,91979602
-1.06,-0.22,0.33,94.12,-47.73,-147.71,-0.00,91989388
-1.06,-0.34,0.32,57.80,-19.35,-161.99,-0.00,91999157
-0.88,-0.36,0.19,29.66,-13.18,-168.52,-0.00,92008961
-0.80,-0.28,0.10,2.01,-9.22,-168.40,-0.00,92013617
-1.68,1.36,-0.80,-159.61,23.01,242.31,-0.00,92576606
-1.68,1.36,-0.80,-159.61,23.01,242.31,-0.00,92584451
-1.67,1.44,-0.88,-157.17,16.42,207.70,-0.00,92594186
-1.56,1.46,-0.87,-143.62,-29.85,123.90,-0.00,92604011
-1.45,1.44,-0.77,-85.51,-53.28,76.78,-0.00,92613803
-1.53,1.35,-0.61,-52.19,-82.21,24.72,-0.00,92618479
-1.56,1.38,-0.51,-11.05,-101.81,-25.82,-0.00,92628113
-1.56,1.38,-0.51,25.88,-104.61,-65.00,-0.00,92636729
-1.64,1.26,-0.38,25.88,-104.61,-65.00,-0.00,92645537
-1.76,1.09,-0.30,45.84,-89.60,-92.90,-0.00,92655268
-1.61,0.91,-0.26,57.92,-28.93,-109.50,-0.00,92665064
-1.32,0.58,-0.16,52.55,-6.53,-109.07,-0.00,92674840
-1.22,0.45,-0.15,46.02,6.65,-114.69,-0.00,92679517
-1.19,0.33,-0.25,53.47,15.56,-122.13,-0.00,92689297
-1.19,0.33,-0.25,62.62,25.63,-129.09,-0.00,92697902
-1.04,0.22,-0.29,62.62,25.63,-129.09,-0.00,92706541
-0.97,0.18,-0.35,73.49,33.81,-153.32,-0.00,92716338
-0.86,0.14,-0.34,89.90,33.57,-145.87,-0.00,92726102
-0.78,-0.09,-0.34,95.40,28.93,-150.63,-0.00,92735929
-0.76,-0.20,-0.35,99.61,28.81,-162.05,-0.00,92740598
-0.73,-0.27,-0.36,100.28,33.39,-172.49,-0.00,92750412
-0.59,-0.29,-0.30,92.77,37.41,-175.72,-0.00,92760102
-0.59,-0.29,-0.30,74.52,37.48,-172.06,-0.00,92768713
-0.43,-0.32,-0.23,56.15,32.29,-167.54,-0.00,92778374
-0.25,-0.18,-0.27,38.39,21.48,-164.73,-0.00,92788166
-0.21,-0.07,-0.26,31.92,12.08,-166.50,-0.00,92797919
-0.16,0.05,-0.25,37.60,5.19,-166.26,-0.00,92807704
-0.12,0.04,-0.27,41.99,-1.40,-164.12,-0.00,92817452
-0.14,0.09,-0.26,55.24,-2.62,-161.32,-0.00,92827227
-0.11,0.06,-0.29,66.41,1.95,-161.62,-0.00,92831914
-0.10,0.05,-0.28,80.44,18.80,-157.59,-0.00,92841747
0.04,0.15,-0.20,88.81,28.81,-151.79,-0.00,92851443
0.04,0.15,-0.20,86.73,35.40,-143.68,-0.00,92860049
0.14,0.06,-0.14,86.73,35.40,-143.68,-0.00,92868869
0.18,0.20,-0.01,84.78,38.27,-130.37,-0.00,92878593
0.25,0.24,0.04,79.65,35.46,-114.14,-0.00,92888376
0.30,0.33,0.13,70.50,29.36,-84.96,-0.00,92898170
0.34,0.35,0.18,63.66,11.11,-76.72,-0.00,92902903
0.45,0.38,0.30,62.99,1.59,-67.99,-0.00,92912637
0.53,0.38,0.31,58.11,-8.79,-60.79,-0.00,92922452
0.53,0.38,0.31,60.24,-17.70,-51.70,-0.00,92931101
0.60,0.43,0.37,60.24,-17.70,-51.70,-0.00,92939871
0.61,0.33,0.40,59.81,-26.79,-40.34,-0.00,92949630
0.58,0.24,0.39,46.02,-41.02,-30.52,-0.00,92959439
0.76,0.19,0.33,34.79,-41.38,-24.41,-0.00,92969223
0.82,0.22,0.30,21.61,-36.68,-16.24,-0.00,92973941
0.93,0.34,0.27,12.33,-32.71,-6.71,-0.00,92983715
0.99,0.45,0.32,12.33,-28.75,7.81,-0.00,92993519
0.99,0.45,0.32,10.19,-24.54,22.71,-0.00,93002113
1.00,0.51,0.36,9.58,-22.58,37.66,-0.00,93011729
1.09,0.65,0.44,8.48,-24.23,54.63,-0.00,93021450
1.04,0.74,0.47,13.43,-26.43,66.28,-0.00,93031252
0.94,0.84,0.46,20.20,-30.33,76.42,-0.00,93041002
0.89,0.90,0.49,23.07,-33.51,91.19,-0.00,93050818
0.86,0.91,0.50,18.92,-34.30,110.17,-0.00,93060603
0.83,0.98,0.47,10.56,-34.24,127.08,-0.00,93065291
0.86,1.07,0.41,1.53,-30.27,158.51,-0.00,93075046
0.79,1.36,0.25,7.08,-25.70,170.29,-0.00,93084833
0.79,1.36,0.25,21.00,-18.19,182.86,-0.00,93093440
0.77,1.37,0.21,21.00,-18.19,182.86,-0.00,93102210
0.65,1.28,0.21,34.00,-10.07,198.61,-0.00,93111996
0.51,1.22,0.22,40.77,-1.34,213.50,-0.00,93121802
0.32,1.23,0.22,43.58,4.46,240.36,-0.00,93131534
0.02,1.28,0.20,44.25,-5.55,257.20,-0.00,93136257
-0.68,1.29,0.20,41.26,-13.67,274.29,-0.00,93146064
-1.06,1.30,0.21,31.80,-21.55,285.95,-0.00,93155854
-1.06,1.30,0.21,17.27,-27.53,296.14,-0.00,93164436
-1.41,1.32,0.21,17.27,-27.53,296.14,-0.00,93173241
-1.73,1.33,0.14,-0.18,-28.08,304.08,-0.00,93182981
-1.97,1.44,0.06,-15.32,-12.70,310.24,-0.00,93192730
-2.19,1.58,-0.05,-12.82,-1.04,313.35,-0.00,93202518
-2.26,1.55,-0.06,-7.14,10.93,313.96,-0.00,93207194
-2.23,1.54,-0.21,-0.06,20.45,307.86,-0.00,93216963
-2.23,1.54,-0.21,11.90,34.12,300.78,-0.00,93225603
-2.36,1.42,-0.40,11.90,34.12,300.78,-0.00,93234221
-2.38,1.43,-0.42,32.10,55.79,286.07,-0.00,93244008
-2.25,1.36,-0.31,41.32,60.55,279.11,-0.00,93253767
-1.89,1.03,-0.04,39.37,57.62,259.77,-0.00,93263562
-1.96,0.78,0.06,31.01,46.81,237.79,-0.00,93268236
-2.11,0.53,0.02,11.66,31.07,201.11,-0.00,93278046
-2.22,0.51,-0.02,-6.59,15.87,154.66,-0.00,93287768
-1.05,0.84,0.89,2.01,-5.19,213.26,-0.00,93844855
-1.23,0.78,0.83,-28.44,-7.08,220.21,-0.00,93854485
-1.36,0.79,0.76,-58.78,-7.26,226.93,-0.00,93864228
-1.36,0.79,0.76,-58.78,-7.26,226.93,-0.00,93872048
-1.63,0.94,0.68,-83.44,-4.46,232.24,-0.00,93881873
-1.74,1.01,0.61,-101.87,2.56,238.28,-0.00,93891653
-1.86,1.06,0.55,-116.03,9.70,252.08,-0.00,93896343
-2.06,1.08,0.50,-145.32,22.71,259.70,-0.00,93906132
-2.05,1.09,0.34,-158.94,25.82,265.50,-0.00,93915927
-2.05,1.09,0.34,-173.83,30.33,264.95,-0.00,93924551
-2.05,1.02,0.25,-173.83,30.33,264.95,-0.00,93933331
-2.13,0.89,0.16,-192.69,34.12,260.50,-0.00,93943088
-2.56,0.77,0.22,-207.76,37.90,247.25,-0.00,93952934
-2.69,0.72,0.34,-238.04,23.74,180.18,-0.00,93962689
-1.92,0.88,0.48,-239.26,-0.61,130.37,-0.00,93967383
-1.63,0.73,0.53,-236.45,-30.03,68.54,-0.00,93977170
-1.32,0.73,0.48,-225.52,-67.08,1.65,-0.00,93986964
-1.32,0.73,0.48,-208.50,-102.36,-62.50,-0.00,93995544
-1.15,0.94,0.55,-208.50,-102.36,-62.50,-0.00,94004346
-1.23,0.81,0.49,-192.57,-141.24,-138.73,-0.00,94014122
-1.25,0.81,0.61,-122.92,-139.59,-159.36,-0.00,94023933
-1.02,0.51,0.57,-86.24,-130.43,-170.53,-0.00,94033730
-0.92,0.30,0.59,-49.80,-126.53,-179.57,-0.00,94038434
-0.82,0.14,0.53,-21.91,-130.68,-186.83,-0.00,94048238
-0.90,0.10,0.46,-7.02,-132.87,-191.77,-0.00,94058022
-0.90,0.10,0.46,-14.16,-123.54,-196.90,-0.00,94066829
-1.02,-0.23,0.14,-26.00,-104.55,-195.92,-0.00,94076536
-1.11,-0.33,0.08,-42.05,-81.97,-186.65,-0.00,94086168
-1.04,-0.38,-0.05,-69.40,-61.83,-179.87,-0.00,94095932
-0.88,-0.25,-0.13,-88.75,-49.38,-172.79,-0.00,94105768
-0.76,-0.11,-0.22,-98.94,-45.35,-165.65,-0.00,94115589
-0.65,-0.01,-0.29,-96.56,-50.05,-162.54,-0.00,94125385
-0.54,0.16,-0.29,-81.60,-72.51,-168.76,-0.00,94135186
-0.42,0.21,-0.29,-21.00,-67.08,-172.49,-0.00,94139906
-0.34,0.18,-0.17,11.23,-64.03,-174.01,-0.00,94149691
-0.31,0.14,-0.10,38.94,-55.66,-170.10,-0.00,94159518
-0.31,0.14,-0.10,55.66,-41.38,-159.55,-0.00,94168140
-0.29,0.13,-0.09,55.66,-41.38,-159.55,-0.00,94176950
-0.30,0.12,-0.07,57.01,-23.80,-148.25,-0.00,94186676
-0.30,0.07,-0.05,33.69,8.42,-115.72,-0.00,94196467
-0.27,0.17,-0.06,11.41,21.97,-103.76,-0.00,94206249
-0.26,0.30,-0.08,-4.03,34.97,-96.80,-0.00,94210966
-0.15,0.41,-0.05,-11.35,44.62,-91.37,-0.00,94220712
-0.15,0.41,-0.05,-13.24,52.73,-86.43,-0.00,94229301
-0.16,0.46,-0.04,-13.24,52.73,-86.43,-0.00,94237945
-0.20,0.57,0.02,-8.30,63.54,-75.38,-0.00,94247656
-0.19,0.59,0.03,13.43,67.14,-72.88,-0.00,94257463
-0.15,0.51,0.10,34.00,73.73,-72.51,-0.00,94267237
-0.13,0.39,0.10,53.41,80.93,-77.27,-0.00,94271927
-0.07,0.40,0.10,77.03,86.79,-85.14,-0.00,94281675
-0.02,0.33,0.11,96.19,92.59,-91.98,-0.00,94291468
-0.02,0.33,0.11,113.16,97.72,-97.78,-0.00,94300087
0.05,0.28,0.20,122.25,99.49,-95.09,-0.00,94309744
0.15,0.11,0.27,121.70,97.72,-93.14,-0.00,94319516
0.18,0.03,0.29,109.38,94.24,-89.72,-0.00,94329308
0.23,0.10,0.30,89.29,87.59,-86.12,-0.00,94339138
0.22,0.14,0.26,62.38,78.55,-78.74,-0.00,94348896
0.26,0.20,0.28,38.09,68.48,-70.19,-0.00,94358695
0.28,0.22,0.25,14.59,58.59,-59.20,-0.00,94368485
0.33,0.27,0.23,-21.61,36.32,-47.73,-0.00,94373153
0.38,0.48,0.13,-33.57,25.51,-42.18,-0.00,94382805
0.38,0.48,0.13,-38.09,17.15,-38.76,-0.00,94391402
0.49,0.62,0.06,-38.09,17.15,-38.76,-0.00,94400198
0.62,0.75,0.02,-35.89,11.41,-35.46,-0.00,94409959
0.71,0.82,0.05,-26.37,6.29,-30.82,-0.00,94419777
0.77,0.84,0.03,-11.11,-4.82,-17.46,-0.00,94429542
0.89,0.85,0.02,-8.36,-10.86,-13.12,-0.00,94434243
1.16,0.85,-0.03,-9.22,-15.38,-5.92,-0.00,94443978
1.19,0.90,0.00,-10.68,-17.58,1.04,-0.00,94453772
1.19,0.90,0.00,-10.44,-18.37,11.17,-0.00,94462403
1.24,0.99,0.07,-10.44,-18.37,11.17,-0.00,94471170
1.31,1.11,0.17,-5.19,-20.14,40.10,-0.00,94480937
1.17,1.15,0.27,12.57,-41.87,60.30,-0.00,94490721
0.92,1.42,0.45,18.07,-57.07,72.33,-0.00,94500461
0.66,1.02,0.45,23.38,-63.96,86.79,-0.00,94505131
0.40,1.19,0.60,13.92,-68.30,99.98,-0.00,94514902
0.40,1.19,0.60,-1.83,-70.43,118.65,-0.00,94523532
0.20,1.12,0.70,-1.83,-70.43,118.65,-0.00,94532145
0.02,1.18,0.59,-30.76,-49.80,157.84,-0.00,94541893
0.50,0.50,0.20,-35.64,-31.86,4.70,-0.00,95102397
0.50,0.50,0.20,-35.64,-31.86,4.70,-0.00,95110233
0.86,0.59,0.19,-17.58,-28.08,12.57,-0.00,95119990
0.97,0.67,0.22,4.76,-24.78,34.00,-0.00,95129780
1.03,0.70,0.29,40.41,-35.34,48.71,-0.00,95134444
1.03,0.68,0.51,49.80,-49.68,63.48,-0.00,95144273
0.89,0.68,0.55,52.06,-68.66,78.31,-0.00,95153963
0.89,0.68,0.55,43.76,-87.16,95.09,-0.00,95162583
0.75,0.66,0.55,43.76,-87.16,95.09,-0.00,95171395
0.51,0.71,0.49,29.36,-99.91,112.43,-0.00,95181145
0.26,0.75,0.43,-9.40,-93.51,148.99,-0.00,95190959
0.04,1.06,0.33,-20.45,-68.85,162.23,-0.00,95200717
0.10,1.31,0.28,-19.29,-50.90,175.90,-0.00,95205432
0.09,1.43,0.25,-3.85,-37.05,187.99,-0.00,95215210
-0.06,1.51,0.32,18.92,-29.17,199.52,-0.00,95224998
-0.06,1.51,0.32,36.93,-23.38,214.42,-0.00,95233587
-0.18,1.48,0.42,41.50,-15.81,234.80,-0.00,95243238
-0.56,1.48,0.48,36.87,-10.56,253.78,-0.00,95252940
-0.95,1.58,0.47,32.65,-11.96,266.24,-0.00,95262752
-1.43,1.57,0.40,22.52,-9.40,279.48,-0.00,95272500
-1.72,1.60,0.28,4.09,2.20,295.10,-0.00,95282254
-1.85,1.67,0.14,-10.74,19.71,305.24,-0.00,95292016
-1.93,1.78,0.05,-11.72,38.82,308.96,-0.00,95296730
-1.96,1.78,-0.02,-7.39,79.96,302.49,-0.00,95306504
-1.91,1.77,-0.14,2.14,97.11,299.44,-0.00,95316301
-1.94,1.71,-0.20,6.47,105.16,296.14,-0.00,95325918
-1.94,1.71,-0.20,6.47,105.16,296.14,-0.00,95333737
-1.85,1.71,-0.19,8.42,102.84,291.08,-0.00,95343484
-1.89,1.70,-0.26,-1.77,101.75,290.65,-0.00,95353319
-2.00,1.52,-0.29,-19.47,104.13,289.06,-0.00,95363105
-2.09,1.27,-0.18,-42.24,103.09,257.75,-0.00,95367810
-1.95,1.16,0.01,-41.56,89.05,218.99,-0.00,95377586
-2.06,1.00,0.07,-41.81,70.07,183.29,-0.00,95387371
-2.06,1.00,0.07,-40.22,50.78,140.93,-0.00,95396173
-2.13,0.87,0.06,-40.22,50.78,140.93,-0.00,95404867
-1.97,0.85,0.05,-38.45,29.91,87.83,-0.00,95414667
-1.76,0.94,0.09,-44.68,-19.47,-0.67,-0.00,95424413
-1.81,1.00,0.08,-37.41,-35.58,-39.00,-0.00,95434186
-1.64,1.08,0.16,-22.58,-39.25,-77.27,-0.00,95438886
-1.46,1.07,0.26,-9.34,-30.70,-103.15,-0.00,95448696
-1.23,0.77,0.38,6.29,-19.10,-117.61,-0.00,95458393
-1.23,0.77,0.38,28.69,-14.89,-121.89,-0.00,95467003
-1.01,0.46,0.49,53.04,-21.12,-127.44,-0.00,95476659
-0.92,0.20,0.50,66.41,-35.95,-136.66,-0.00,95486332
-0.96,0.11,0.53,67.75,-47.73,-146.55,-0.00,95496143
-1.00,0.03,0.53,61.46,-50.11,-161.56,-0.00,95505911
-0.97,-0.05,0.54,58.47,-47.24,-169.49,-0.00,95515709
-1.03,-0.15,0.57,59.88,-46.45,-167.18,-0.00,95525496
-1.08,-0.29,0.55,54.69,-44.98,-164.86,-0.00,95530202
-1.23,-0.31,0.55,51.33,-23.74,-163.45,-0.00,95540031
-1.29,-0.30,0.52,35.22,-2.75,-160.03,-0.00,95549716
-1.33,-0.15,0.34,24.35,21.18,-153.75,-0.00,95559345
-1.33,-0.15,0.34,24.35,21.18,-153.75,-0.00,95567194
-1.42,-0.10,0.22,10.80,41.63,-152.65,-0.00,95576949
-1.33,-0.05,0.15,8.24,56.03,-154.91,-0.00,95586731
-0.77,0.15,0.09,18.74,72.69,-161.68,-0.00,95596532
-1.15,-0.09,0.19,147.52,97.60,-166.93,-0.00,95601237
-0.82,-0.63,0.18,127.20,103.27,-148.32,-0.00,95611085
-0.43,-0.54,0.20,97.90,83.07,-137.45,-0.00,95620781
-0.43,-0.54,0.20,83.86,54.87,-156.07,-0.00,95629406
-0.34,-0.50,0.23,83.86,54.87,-156.07,-0.00,95638215
-0.30,-0.41,0.16,92.22,35.77,-174.93,-0.00,95647968
-0.16,-0.32,0.05,108.89,30.21,-178.16,-0.00,95657805
-0.15,-0.24,0.05,114.26,42.48,-164.43,-0.00,95667593
-0.16,-0.32,0.16,110.60,58.96,-147.89,-0.00,95672279
-0.07,-0.39,0.22,96.74,76.90,-138.55,-0.00,95682121
0.14,-0.38,0.32,94.85,92.59,-139.53,-0.00,95691837
0.14,-0.38,0.32,98.82,98.39,-140.93,-0.00,95700435
0.23,-0.38,0.39,95.15,92.71,-143.13,-0.00,95710056
0.45,-0.54,0.41,88.01,89.29,-149.78,-0.00,95719784
0.56,-0.44,0.42,81.85,85.14,-155.82,-0.00,95729596
0.63,-0.22,0.37,67.99,76.90,-159.42,-0.00,95739330
0.65,-0.05,0.37,57.43,71.84,-150.94,-0.00,95749121
0.63,-0.06,0.35,46.08,66.35,-132.20,-0.00,95758906
